County,Municipality,Precinct,USC,STS,STH,School District,Total_Voters,Dem_Voters,Rep_Voters,Other_Voters,Male_Voters,Female_Voters,Unknown_Gender,Avg_Age,New_Registrations,Mail_Applications,Mail_Applications_Total,Mail_Applications_Approved,Mail_Applications_Declined,Mail_Ballots_Sent,Mail_Ballots_Returned,Mail_Ballots_Outstanding,Mail_Voters,Geo_Issue_Rows
ADAMS,GERMANY TWP,GERMANY,13,33,91,LITTLESTOWN AREA,2226,381,1498,347,814,819,593,53.3,9,256,276,256,20,251,139,117,139,0
ADAMS,GETTYSBURG,GETTYSBURG #1,,,,,1,1,0,0,0,0,1,74.0,0,1,1,1,0,1,0,1,0,1
ADAMS,GETTYSBURG,GETTYSBURG #1,13,33,91,GETTYSBURG AREA,1339,615,454,270,503,598,238,50.4,12,97,112,97,15,97,49,48,49,0
ADAMS,GETTYSBURG,GETTYSBURG #2,13,33,91,GETTYSBURG AREA,2375,1261,500,614,956,1196,223,32.7,8,71,83,71,12,71,29,42,29,0
ADAMS,GETTYSBURG,GETTYSBURG #3,13,33,91,GETTYSBURG AREA,1150,495,416,239,422,521,207,54.7,9,145,167,145,22,142,65,80,65,0
ADAMS,HAMILTON TWP,HAMILTON,,,,,1,1,0,0,0,0,1,17.0,0,1,1,1,0,1,1,0,1,1
ADAMS,HAMILTON TWP,HAMILTON,13,33,193,BERMUDIAN-REG III,20,6,12,2,8,9,3,44.6,0,0,0,0,0,0,0,0,0,0
ADAMS,HAMILTON TWP,HAMILTON,13,33,193,CONEWAGO VALLEY I,1916,369,1287,260,804,828,284,53.7,6,174,197,174,23,173,100,74,100,0
ADAMS,HAMILTONBAN TWP,HAMILTONBAN,13,33,91,FAIRFIELD AREA,1688,329,1089,270,648,711,329,53.3,9,116,131,116,15,116,54,62,54,0
ADAMS,HIGHLAND TWP,HIGHLAND,13,33,91,GETTYSBURG AREA,776,166,479,131,283,324,169,55.5,3,64,77,64,13,64,40,24,40,0
ADAMS,HUNTINGTON TWP,HUNTINGTON,,,,,2,1,0,1,0,0,2,20.5,0,1,2,1,1,1,0,1,0,2
ADAMS,HUNTINGTON TWP,HUNTINGTON,13,33,193,BERMUDIAN-REG II,1661,251,1172,238,734,708,219,51.8,6,106,117,106,11,104,59,47,59,0
ADAMS,LATIMORE TWP,LATIMORE,,,,,2,2,0,0,0,0,2,18.0,0,2,2,2,0,2,1,1,1,2
ADAMS,LATIMORE TWP,LATIMORE,13,33,193,BERMUDIAN-REG I,1940,392,1284,264,852,843,245,53.2,7,200,224,200,24,199,96,104,96,0
ADAMS,LIBERTY TWP,LIBERTY,13,33,91,FAIRFIELD AREA,1076,216,696,164,409,409,258,55.7,1,65,71,65,6,65,31,34,31,0
ADAMS,LITTLESTOWN,LITTLESTOWN #1,,,,,1,1,0,0,0,0,1,20.0,0,1,1,1,0,1,0,1,0,1
ADAMS,LITTLESTOWN,LITTLESTOWN #1,13,33,91,LITTLESTOWN AREA,1559,266,975,318,547,633,379,50.8,24,73,96,73,23,71,39,34,39,0
ADAMS,LITTLESTOWN,LITTLESTOWN #2,,,,,4,3,1,0,0,0,4,67.0,0,4,4,4,0,4,2,2,2,4
ADAMS,LITTLESTOWN,LITTLESTOWN #2,13,33,91,LITTLESTOWN AREA,1788,391,1069,328,564,665,559,54.8,12,183,212,183,29,181,101,82,101,0
ADAMS,MCSHERRYSTOWN,MCSHERRYSTOWN #1,,,,,1,1,0,0,0,0,1,57.0,0,1,1,1,0,1,1,0,1,1
ADAMS,MCSHERRYSTOWN,MCSHERRYSTOWN #1,13,33,91,CONEWAGO VALLEY II,1107,306,581,220,406,526,175,52.3,6,76,83,76,7,76,53,23,53,0
ADAMS,MCSHERRYSTOWN,MCSHERRYSTOWN #2,13,33,91,CONEWAGO VALLEY II,764,201,411,152,317,341,106,51.0,4,49,54,49,5,49,35,14,35,0
ADAMS,MENALLEN TWP,MENALLEN,13,33,193,UPPER ADAMS AREA,2411,462,1545,404,1005,1032,374,52.5,8,224,249,224,25,223,103,121,103,0
ADAMS,MT JOY TWP,MT JOY #1,,,,,2,2,0,0,0,0,2,33.5,0,2,2,2,0,2,1,1,1,2
ADAMS,MT JOY TWP,MT JOY #1,13,33,91,GETTYSBURG AREA,1195,369,631,195,453,479,263,56.3,7,191,217,191,26,189,75,116,75,0
ADAMS,MT JOY TWP,MT JOY #1,13,33,91,LITTLESTOWN AREA,246,29,175,42,86,91,69,53.1,5,17,22,17,5,17,7,10,7,0
ADAMS,MT JOY TWP,MT JOY #2,,,,,3,1,0,2,0,0,3,39.0,0,1,3,1,2,1,0,1,0,3
ADAMS,MT JOY TWP,MT JOY #2,13,33,91,GETTYSBURG AREA,1137,265,664,208,341,378,418,58.9,15,154,185,154,31,154,72,82,72,0
ADAMS,MT JOY TWP,MT JOY #2,13,33,91,LITTLESTOWN AREA,552,83,376,93,207,213,132,54.0,3,38,39,38,1,38,21,17,21,0
ADAMS,MT PLEASANT TWP,MT PLEASANT #1,,,,,2,2,0,0,0,0,2,18.0,0,2,2,2,0,2,0,2,0,2
ADAMS,MT PLEASANT TWP,MT PLEASANT #1,13,33,91,CONEWAGO VALLEY III,579,116,389,74,246,255,78,55.6,2,67,71,67,4,66,36,31,36,0
ADAMS,MT PLEASANT TWP,MT PLEASANT #1,13,33,91,LITTLESTOWN AREA,1398,335,802,261,509,539,350,54.3,5,199,224,199,25,196,95,104,95,0
ADAMS,MT PLEASANT TWP,MT PLEASANT #2,,,,,3,2,1,0,0,0,3,44.0,0,2,3,2,1,2,1,1,1,3
ADAMS,MT PLEASANT TWP,MT PLEASANT #2,13,33,91,CONEWAGO VALLEY III,1221,273,750,198,520,526,175,52.6,5,75,85,75,10,74,41,34,41,0
ADAMS,NEW OXFORD,NEW OXFORD,,,,,2,2,0,0,0,0,2,28.0,0,2,2,2,0,2,1,1,1,2
ADAMS,NEW OXFORD,NEW OXFORD,13,33,193,CONEWAGO VALLEY I,1101,317,544,240,415,515,171,51.0,5,60,74,60,14,59,38,22,38,0
ADAMS,OXFORD TWP,OXFORD #1,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,0,1,0,1
ADAMS,OXFORD TWP,OXFORD #1,13,33,193,CONEWAGO VALLEY III,2322,603,1313,406,901,988,433,50.5,15,200,213,200,13,200,121,79,121,0
ADAMS,OXFORD TWP,OXFORD #2,,,,,5,2,3,0,0,0,5,76.2,0,5,5,5,0,5,3,2,3,5
ADAMS,OXFORD TWP,OXFORD #2,13,33,193,CONEWAGO VALLEY III,2088,579,1206,303,758,996,334,64.9,17,491,538,491,47,486,321,170,321,0
ADAMS,READING TWP,READING #1,,,,,1,1,0,0,0,0,1,78.0,0,1,1,1,0,1,0,1,0,1
ADAMS,READING TWP,READING #1,13,33,193,BERMUDIAN-REG III,1284,227,899,158,563,555,166,52.9,2,136,142,136,6,136,77,59,77,0
ADAMS,READING TWP,READING #2,,,,,2,2,0,0,0,0,2,35.5,0,2,2,2,0,2,1,1,1,2
ADAMS,READING TWP,READING #2,13,33,193,BERMUDIAN-REG III,1402,315,880,207,580,615,207,51.1,10,106,114,106,8,106,58,48,58,0
ADAMS,READING TWP,READING #3,,,,,1,1,0,0,0,0,1,31.0,0,1,1,1,0,1,0,1,0,1
ADAMS,READING TWP,READING #3,13,33,193,BERMUDIAN-REG III,1467,356,893,218,617,598,252,53.3,7,147,162,147,15,146,87,60,87,0
ADAMS,STRABAN TWP,STRABAN #1,,,,,2,2,0,0,0,0,2,22.5,0,2,2,2,0,2,0,2,0,2
ADAMS,STRABAN TWP,STRABAN #1,13,33,91,GETTYSBURG AREA,1626,515,831,280,623,729,274,58.5,7,260,290,260,30,259,142,118,142,0
ADAMS,STRABAN TWP,STRABAN #2,,,,,1,1,0,0,0,0,1,69.0,0,0,1,0,1,0,0,0,0,1
ADAMS,STRABAN TWP,STRABAN #2,13,33,91,CONEWAGO VALLEY I,284,68,177,39,114,114,56,53.1,2,22,27,22,5,22,11,11,11,0
ADAMS,STRABAN TWP,STRABAN #2,13,33,91,GETTYSBURG AREA,2445,718,1283,444,703,785,957,60.1,39,338,377,338,39,336,190,148,190,0
ADAMS,STRABAN TWP,STRABAN #3,,,,,7,4,3,0,0,0,7,68.9,0,7,7,7,0,7,6,1,6,7
ADAMS,STRABAN TWP,STRABAN #4,,,,,1,0,0,1,0,0,1,18.0,0,0,1,0,1,0,0,0,0,1
ADAMS,TYRONE TWP,TYRONE,13,33,193,CONEWAGO VALLEY I,204,44,130,30,91,75,38,49.5,1,11,11,11,0,11,9,2,9,0
ADAMS,TYRONE TWP,TYRONE,13,33,193,UPPER ADAMS AREA,1263,240,813,210,522,537,204,52.2,3,74,84,74,10,73,39,35,39,0
ADAMS,UNION TWP,UNION,,,,,2,1,0,1,0,0,2,24.0,0,1,2,1,1,1,0,1,0,2
ADAMS,UNION TWP,UNION,13,33,91,LITTLESTOWN AREA,2387,430,1592,365,908,935,544,53.5,9,222,246,222,24,218,131,91,131,0
ADAMS,YORK SPRINGS,YORK SPRINGS,13,33,193,BERMUDIAN-REG II,310,112,132,66,130,141,39,45.2,3,6,7,6,1,6,4,2,4,0
ALLEGHENY,ALEPPO,ALEPPO 00 01,,,,,1,0,1,0,0,0,1,79.0,0,1,1,1,0,1,1,0,1,1
ALLEGHENY,ALEPPO,ALEPPO 00 01,17,37,44,QUAKER VALLEY - REGION 3,1332,540,594,198,473,688,171,64.3,1,261,281,261,20,259,156,105,156,0
ALLEGHENY,ASPINWALL,ASPINWALL 00 01,17,38,33,FOX CHAPEL AREA-REGION 3,830,490,224,116,334,393,103,46.6,1,71,81,71,10,70,28,43,28,0
ALLEGHENY,ASPINWALL,ASPINWALL 00 02,,,,,3,3,0,0,0,0,3,27.7,0,3,3,3,0,3,0,3,0,3
