County,Municipality,Precinct,USC,STS,STH,School District,Total_Voters,Dem_Voters,Rep_Voters,Other_Voters,Male_Voters,Female_Voters,Unknown_Gender,Avg_Age,New_Registrations,Mail_Applications,Mail_Applications_Total,Mail_Applications_Approved,Mail_Applications_Declined,Mail_Ballots_Sent,Mail_Ballots_Returned,Mail_Ballots_Outstanding,Mail_Voters,Geo_Issue_Rows
ALLEGHENY,SEWICKLEY HEIGHTS,SEWICKLEY HT 00 01,17,37,44,QUAKER VALLEY - REGION 3,748,236,398,114,321,310,117,52.1,3,83,89,83,6,83,48,35,48,0
ALLEGHENY,SEWICKLEY HILLS,SEWICKLEY HL 00 01,17,37,44,QUAKER VALLEY - REGION 3,561,235,234,92,239,240,82,52.0,1,48,50,48,2,47,18,30,18,0
ALLEGHENY,SHALER,SHALER 01 01,17,38,21,SHALER AREA - REGION 1,518,266,182,70,219,251,48,53.2,0,76,79,76,3,75,37,39,37,0
ALLEGHENY,SHALER,SHALER 01 02,17,38,21,SHALER AREA - REGION 2,525,257,181,87,216,241,68,50.2,1,49,57,49,8,49,24,25,24,0
ALLEGHENY,SHALER,SHALER 01 03,,,,,1,0,0,1,0,0,1,18.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,SHALER,SHALER 01 03,17,38,21,SHALER AREA - REGION 1,567,266,218,83,232,262,73,50.5,3,63,67,63,4,63,43,20,43,0
ALLEGHENY,SHALER,SHALER 01 04,,,,,2,2,0,0,0,0,2,27.0,0,2,2,2,0,1,0,2,0,2
ALLEGHENY,SHALER,SHALER 01 04,17,38,21,SHALER AREA - REGION 1,591,303,194,94,237,278,76,53.8,0,97,105,97,8,97,60,37,60,0
ALLEGHENY,SHALER,SHALER 01 05,,,,,2,2,0,0,0,0,2,27.0,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,SHALER,SHALER 01 05,17,38,21,SHALER AREA - REGION 2,613,319,196,98,257,280,76,52.0,2,67,73,67,6,66,23,44,23,0
ALLEGHENY,SHALER,SHALER 02 01,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,1,0,1,1
ALLEGHENY,SHALER,SHALER 02 01,17,38,21,SHALER AREA - REGION 1,997,450,405,142,421,478,98,53.0,0,144,155,144,11,143,84,60,84,0
ALLEGHENY,SHALER,SHALER 02 02,17,38,21,SHALER AREA - REGION 1,760,327,328,105,341,352,67,51.5,1,99,102,99,3,98,48,51,48,0
ALLEGHENY,SHALER,SHALER 02 03,17,38,21,SHALER AREA - REGION 1,600,326,182,92,266,261,73,49.3,4,55,63,55,8,55,33,22,33,0
ALLEGHENY,SHALER,SHALER 02 04,17,38,21,SHALER AREA - REGION 1,766,369,289,108,332,344,90,51.1,2,93,104,93,11,93,57,36,57,0
ALLEGHENY,SHALER,SHALER 02 05,17,38,21,SHALER AREA - REGION 3,362,192,118,52,147,182,33,53.1,0,46,53,46,7,46,25,21,25,0
ALLEGHENY,SHALER,SHALER 03 01,17,38,21,SHALER AREA - REGION 2,594,284,217,93,255,269,70,54.1,1,89,98,89,9,88,45,44,45,0
ALLEGHENY,SHALER,SHALER 03 02,,,,,2,2,0,0,0,0,2,18.0,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,SHALER,SHALER 03 02,17,38,21,SHALER AREA - REGION 2,578,270,233,75,265,251,62,52.9,2,73,75,73,2,73,45,28,45,0
ALLEGHENY,SHALER,SHALER 03 03,17,38,21,SHALER AREA - REGION 2,572,257,239,76,248,269,55,55.2,0,77,84,77,7,74,51,26,51,0
ALLEGHENY,SHALER,SHALER 03 04,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SHALER,SHALER 03 04,17,38,21,SHALER AREA - REGION 2,711,329,282,100,298,338,75,54.7,5,92,104,92,12,92,52,40,52,0
ALLEGHENY,SHALER,SHALER 03 05,17,38,21,SHALER AREA - REGION 2,649,276,299,74,283,303,63,54.4,1,92,94,92,2,89,53,39,53,0
ALLEGHENY,SHALER,SHALER 04 01,,,,,1,0,0,1,0,0,1,29.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,SHALER,SHALER 04 01,17,38,21,SHALER AREA - REGION 3,848,386,322,140,333,410,105,52.1,2,87,94,87,7,85,34,53,34,0
ALLEGHENY,SHALER,SHALER 04 02,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,1,0,1,1
ALLEGHENY,SHALER,SHALER 04 02,17,38,21,SHALER AREA - REGION 3,444,222,146,76,208,205,31,51.8,1,39,46,39,7,39,17,22,17,0
ALLEGHENY,SHALER,SHALER 04 03,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SHALER,SHALER 04 03,17,38,21,SHALER AREA - REGION 3,613,289,235,89,237,305,71,51.7,1,80,87,80,7,80,39,41,39,0
ALLEGHENY,SHALER,SHALER 04 04,,,,,1,0,0,1,0,0,1,27.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,SHALER,SHALER 04 04,17,38,21,SHALER AREA - REGION 3,650,295,262,93,269,310,71,55.3,1,95,102,95,7,94,57,38,57,0
ALLEGHENY,SHALER,SHALER 04 05,17,38,21,SHALER AREA - REGION 3,506,251,185,70,210,251,45,54.2,1,72,76,72,4,72,49,23,49,0
ALLEGHENY,SHALER,SHALER 05 01,17,38,21,SHALER AREA - REGION 3,751,312,325,114,331,336,84,54.1,4,91,102,91,11,91,48,43,48,0
ALLEGHENY,SHALER,SHALER 05 02,17,38,21,SHALER AREA - REGION 3,641,306,245,90,268,304,69,53.3,0,60,66,60,6,60,25,35,25,0
ALLEGHENY,SHALER,SHALER 05 03,17,38,21,SHALER AREA - REGION 3,535,252,214,69,218,258,59,53.6,1,96,103,96,7,95,63,33,63,0
ALLEGHENY,SHALER,SHALER 05 04,17,38,21,SHALER AREA - REGION 1,353,146,162,45,159,159,35,55.5,0,43,46,43,3,43,31,12,31,0
ALLEGHENY,SHALER,SHALER 05 05,17,38,21,SHALER AREA - REGION 3,758,335,306,117,309,371,78,52.9,0,82,93,82,11,82,44,38,44,0
ALLEGHENY,SHALER,SHALER 06 01,,,,,1,1,0,0,0,0,1,70.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SHALER,SHALER 06 01,17,38,21,SHALER AREA - REGION 3,598,297,231,70,255,277,66,52.6,1,69,74,69,5,69,35,34,35,0
ALLEGHENY,SHALER,SHALER 06 02,17,38,21,SHALER AREA - REGION 3,690,321,264,105,302,315,73,52.4,1,87,92,87,5,86,55,32,55,0
ALLEGHENY,SHALER,SHALER 06 03,17,38,21,SHALER AREA - REGION 3,574,239,250,85,260,261,53,52.5,3,81,88,81,7,79,36,45,36,0
ALLEGHENY,SHALER,SHALER 06 04,17,38,21,SHALER AREA - REGION 2,322,168,121,33,136,152,34,55.4,0,53,57,53,4,53,32,21,32,0
ALLEGHENY,SHALER,SHALER 06 05,17,38,21,SHALER AREA - REGION 3,536,266,201,69,236,244,56,55.8,2,90,103,90,13,89,65,25,65,0
ALLEGHENY,SHALER,SHALER 07 01,,,,,1,0,0,1,0,0,1,18.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,SHALER,SHALER 07 01,17,38,21,SHALER AREA - REGION 2,591,301,192,98,251,271,69,52.4,3,83,92,83,9,81,59,24,59,0
ALLEGHENY,SHALER,SHALER 07 02,,,,,1,1,0,0,0,0,1,77.0,0,1,1,1,0,1,1,0,1,1
ALLEGHENY,SHALER,SHALER 07 02,17,38,21,SHALER AREA - REGION 3,770,377,281,112,318,371,81,50.7,4,88,94,88,6,87,51,37,51,0
ALLEGHENY,SHALER,SHALER 07 03,,,,,3,3,0,0,0,0,3,25.7,0,3,3,3,0,3,2,1,2,3
ALLEGHENY,SHALER,SHALER 07 03,17,38,21,SHALER AREA - REGION 2,652,296,245,111,295,297,60,50.9,1,62,65,62,3,62,33,29,33,0
ALLEGHENY,SHALER,SHALER 07 04,,,,,1,0,0,1,0,0,1,33.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,SHALER,SHALER 07 04,17,38,21,SHALER AREA - REGION 2,1012,477,383,152,435,444,133,51.7,2,124,132,124,8,123,63,61,63,0
ALLEGHENY,SHARPSBURG,SHARPSBURG 00 01,17,38,33,FOX CHAPEL AREA-REGION 1,575,358,130,87,232,280,63,53.2,0,55,58,55,3,53,29,26,29,0
ALLEGHENY,SHARPSBURG,SHARPSBURG 00 02,,,,,2,2,0,0,0,0,2,34.0,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,SHARPSBURG,SHARPSBURG 00 02,17,38,33,FOX CHAPEL AREA-REGION 1,789,492,153,144,309,364,116,47.0,2,54,55,54,1,52,33,21,33,0
ALLEGHENY,SHARPSBURG,SHARPSBURG 00 03,,,,,1,1,0,0,0,0,1,19.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SHARPSBURG,SHARPSBURG 00 03,17,38,33,FOX CHAPEL AREA-REGION 1,811,439,233,139,334,375,102,48.2,1,57,61,57,4,57,32,25,32,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 01,,,,,2,2,0,0,0,0,2,21.5,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 01,17,37,46,SOUTH FAYETTE,567,247,238,82,247,250,70,53.2,1,92,102,92,10,92,52,40,52,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 02,,,,,2,1,1,0,0,0,2,19.0,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 02,17,37,46,SOUTH FAYETTE,1130,431,534,165,484,470,176,49.0,3,118,131,118,13,118,54,64,54,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 03,,,,,5,2,0,3,0,0,5,30.0,0,2,5,2,3,2,0,2,0,5
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 03,17,37,46,SOUTH FAYETTE,2046,823,793,430,790,843,413,45.8,14,192,228,192,36,191,73,119,73,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 04,17,37,46,SOUTH FAYETTE,830,350,342,138,330,385,115,54.6,5,90,109,90,19,90,58,32,58,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 05,17,37,46,SOUTH FAYETTE,1048,431,432,185,425,447,176,47.5,4,79,86,79,7,79,45,34,45,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 06,,,,,2,1,1,0,0,0,2,27.5,0,2,2,2,0,2,1,1,1,2
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 06,17,37,46,SOUTH FAYETTE,1242,514,527,201,466,581,195,49.3,4,114,131,114,17,114,77,37,77,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 07,17,37,46,SOUTH FAYETTE,714,305,313,96,292,295,127,49.8,4,88,97,88,9,88,44,44,44,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 08,,,,,1,1,0,0,0,0,1,19.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 08,17,37,46,SOUTH FAYETTE,1582,624,691,267,608,701,273,52.0,6,225,248,225,23,223,124,101,124,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 09,,,,,2,1,0,1,0,0,2,70.0,0,1,2,1,1,1,0,1,0,2
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 09,17,37,46,SOUTH FAYETTE,671,282,287,102,268,295,108,54.2,1,74,86,74,12,71,38,36,38,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 10,17,37,46,SOUTH FAYETTE,716,312,275,129,290,332,94,52.5,2,73,83,73,10,73,44,29,44,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 11,,,,,2,2,0,0,0,0,2,18.0,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 11,17,37,46,SOUTH FAYETTE,1112,462,477,173,445,489,178,48.6,3,108,122,108,14,108,56,52,56,0
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 12,,,,,6,4,2,0,0,0,6,70.2,0,6,6,6,0,6,3,3,3,6
ALLEGHENY,SOUTH FAYETTE,S FAYETTE 00 12,17,37,46,SOUTH FAYETTE,1095,460,478,157,431,493,171,54.2,4,184,199,184,15,182,113,71,113,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 01,12,37,39,SOUTH PARK,754,254,408,92,330,337,87,51.7,0,91,99,91,8,91,44,47,44,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 02,12,37,39,SOUTH PARK,770,355,309,106,337,336,97,52.3,3,92,99,92,7,92,48,44,48,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 03,12,37,39,SOUTH PARK,683,285,272,126,290,302,91,50.2,1,66,75,66,9,66,40,26,40,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 04,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 04,12,37,39,SOUTH PARK,919,433,335,151,359,428,132,48.2,6,86,94,86,8,85,38,48,38,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 05,12,37,39,SOUTH PARK,742,347,292,103,325,328,89,52.1,0,71,74,71,3,70,42,29,42,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 06,12,37,39,SOUTH PARK,885,378,369,138,367,418,100,52.1,1,99,108,99,9,96,47,52,47,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 07,,,,,1,1,0,0,0,0,1,27.0,0,1,1,1,0,1,1,0,1,1
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 07,12,37,39,SOUTH PARK,1061,522,406,133,395,559,107,57.1,2,191,204,191,13,191,124,67,124,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 08,12,37,39,SOUTH PARK,530,241,202,87,219,241,70,54.1,1,69,75,69,6,69,32,37,32,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 09,12,37,39,SOUTH PARK,833,374,344,115,360,380,93,52.4,4,117,126,117,9,116,62,55,62,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 10,12,37,39,SOUTH PARK,875,347,381,147,369,406,100,53.2,2,85,94,85,9,82,57,28,57,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 11,,,,,1,0,0,1,0,0,1,19.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 11,12,37,39,SOUTH PARK,578,232,230,116,249,260,69,48.9,3,53,58,53,5,53,28,25,28,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 12,,,,,1,1,0,0,0,0,1,35.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 12,12,37,39,SOUTH PARK,589,264,243,82,251,279,59,53.1,4,69,71,69,2,69,38,31,38,0
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 13,,,,,2,1,0,1,0,0,2,19.5,0,2,2,2,0,1,0,2,0,2
ALLEGHENY,SOUTH PARK,SOUTH PARK 00 13,12,37,39,SOUTH PARK,1185,463,539,183,504,524,157,53.0,0,150,163,150,13,147,94,56,94,0
ALLEGHENY,SOUTH VERSAILLES,S VERSAILLES 00 01,12,45,35,MC KEESPORT AREA,193,57,116,20,86,91,16,58.6,0,13,13,13,0,13,10,3,10,0
ALLEGHENY,SOUTH VERSAILLES,S VERSAILLES 00 01,12,45,35,NORWIN,23,8,13,2,10,8,5,50.0,0,2,2,2,0,2,0,2,0,0
ALLEGHENY,SPRINGDAL BORO,SPRINGDAL BR 00 01,,,,,1,1,0,0,0,0,1,19.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SPRINGDAL BORO,SPRINGDAL BR 00 01,17,38,33,ALLEGHENY VALLEY,659,319,231,109,273,301,85,51.2,1,64,71,64,7,63,37,27,37,0
ALLEGHENY,SPRINGDAL BORO,SPRINGDAL BR 00 02,17,38,33,ALLEGHENY VALLEY,583,254,254,75,263,258,62,54.4,2,58,62,58,4,58,29,29,29,0
ALLEGHENY,SPRINGDAL BORO,SPRINGDAL BR 00 03,17,38,33,ALLEGHENY VALLEY,549,269,213,67,232,242,75,54.6,0,46,48,46,2,46,29,17,29,0
ALLEGHENY,SPRINGDAL BORO,SPRINGDAL BR 00 04,17,38,33,ALLEGHENY VALLEY,461,230,174,57,201,198,62,50.8,0,33,35,33,2,33,18,15,18,0
ALLEGHENY,SPRINGDAL TWP,SPRINGDAL TP 00 01,17,38,33,ALLEGHENY VALLEY,1152,522,468,162,495,504,153,57.5,1,165,176,165,11,163,102,63,102,0
ALLEGHENY,STOWE,STOWE 01 00,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,STOWE,STOWE 01 00,17,42,45,STO-ROX - REGION 2,408,257,80,71,167,175,66,48.4,3,30,31,30,1,30,16,14,16,0
ALLEGHENY,STOWE,STOWE 02 01,17,42,45,STO-ROX - REGION 2,172,107,32,33,79,73,20,48.3,1,9,10,9,1,9,3,6,3,0
ALLEGHENY,STOWE,STOWE 02 02,17,42,45,STO-ROX - REGION 2,634,393,130,111,242,316,76,48.4,1,69,72,69,3,68,47,22,47,0
ALLEGHENY,STOWE,STOWE 03 00,17,42,45,STO-ROX - REGION 2,338,190,84,64,148,151,39,50.7,1,20,21,20,1,20,17,3,17,0
ALLEGHENY,STOWE,STOWE 04 01,17,42,45,STO-ROX - REGION 2,326,200,80,46,134,160,32,56.1,0,35,36,35,1,35,13,22,13,0
ALLEGHENY,STOWE,STOWE 04 02,,,,,1,1,0,0,0,0,1,66.0,0,1,1,1,0,1,1,0,1,1
ALLEGHENY,STOWE,STOWE 04 02,17,42,45,STO-ROX - REGION 2,346,206,98,42,146,175,25,57.3,1,71,71,71,0,71,43,28,43,0
ALLEGHENY,STOWE,STOWE 05 00,17,42,45,STO-ROX - REGION 2,420,254,90,76,182,184,54,49.5,2,35,40,35,5,35,24,11,24,0
ALLEGHENY,STOWE,STOWE 06 00,17,42,45,STO-ROX - REGION 2,429,287,73,69,176,206,47,46.9,1,31,31,31,0,31,22,9,22,0
ALLEGHENY,STOWE,STOWE 07 00,17,42,45,STO-ROX - REGION 2,294,175,40,79,111,153,30,45.5,2,10,10,10,0,10,5,5,5,0
ALLEGHENY,STOWE,STOWE 08 00,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,1,0,1,1
ALLEGHENY,STOWE,STOWE 08 00,17,42,45,STO-ROX - REGION 2,368,219,46,103,168,151,49,46.4,0,11,12,11,1,11,6,5,6,0
ALLEGHENY,STOWE,STOWE 09 00,17,42,45,STO-ROX - REGION 2,268,183,33,52,105,134,29,45.0,1,14,14,14,0,14,7,7,7,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 01,12,43,34,WOODLAND HILLS - REG. 2,807,570,90,147,296,389,122,46.6,3,91,92,91,1,91,55,36,55,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 02,,,,,2,2,0,0,0,0,2,42.5,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,SWISSVALE,SWISSVALE 00 02,12,43,34,WOODLAND HILLS - REG. 2,254,190,19,45,104,103,47,49.3,0,23,28,23,5,23,13,10,13,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 02,17,43,34,WOODLAND HILLS - REG. 2,440,322,51,67,168,213,59,46.2,0,47,49,47,2,47,29,18,29,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 03,17,43,34,WOODLAND HILLS - REG. 2,625,477,60,88,241,298,86,46.6,3,71,77,71,6,71,42,29,42,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 04,17,43,34,WOODLAND HILLS - REG. 2,606,424,87,95,225,293,88,48.4,1,72,74,72,2,70,40,32,40,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 05,,,,,2,2,0,0,0,0,2,66.0,0,2,2,2,0,2,0,2,0,2
ALLEGHENY,SWISSVALE,SWISSVALE 00 05,17,43,34,WOODLAND HILLS - REG. 2,717,511,88,118,279,349,89,51.0,5,98,108,98,10,96,59,39,59,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 06,12,43,34,WOODLAND HILLS - REG. 2,378,276,35,67,156,171,51,45.8,1,26,27,26,1,26,14,12,14,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 07,12,43,34,WOODLAND HILLS - REG. 2,637,486,67,84,242,309,86,47.9,6,84,88,84,4,84,36,48,36,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 08,12,43,34,WOODLAND HILLS - REG. 2,676,469,83,124,258,305,113,47.3,3,80,99,80,19,80,37,43,37,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 09,,,,,1,1,0,0,0,0,1,30.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,SWISSVALE,SWISSVALE 00 09,12,43,34,WOODLAND HILLS - REG. 2,655,501,58,96,212,369,74,52.8,3,77,84,77,7,77,31,46,31,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 10,12,43,34,WOODLAND HILLS - REG. 2,226,157,16,53,82,105,39,44.0,0,11,11,11,0,11,3,8,3,0
ALLEGHENY,SWISSVALE,SWISSVALE 00 11,,,,,2,1,0,1,0,0,2,38.5,0,1,2,1,1,1,0,1,0,2
ALLEGHENY,SWISSVALE,SWISSVALE 00 11,12,43,34,WOODLAND HILLS - REG. 2,665,530,57,78,257,290,118,50.6,1,102,115,102,13,101,55,47,55,0
ALLEGHENY,TARENTUM,TARENTUM 01 01,,,,,1,0,0,1,0,0,1,23.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,TARENTUM,TARENTUM 01 01,17,38,33,HIGHLANDS - REGION 1,647,310,216,121,265,279,103,47.8,0,35,38,35,3,35,24,11,24,0
ALLEGHENY,TARENTUM,TARENTUM 01 02,17,38,33,HIGHLANDS - REGION 1,441,211,157,73,172,205,64,52.2,0,44,45,44,1,44,24,20,24,0
ALLEGHENY,TARENTUM,TARENTUM 02 00,17,38,33,HIGHLANDS - REGION 1,541,267,181,93,210,271,60,51.9,1,57,59,57,2,57,28,29,28,0
ALLEGHENY,TARENTUM,TARENTUM 03 01,17,38,33,HIGHLANDS - REGION 1,263,121,87,55,99,125,39,50.2,2,19,19,19,0,19,9,10,9,0
ALLEGHENY,TARENTUM,TARENTUM 03 02,17,38,33,HIGHLANDS - REGION 1,590,227,243,120,239,266,85,50.2,1,34,35,34,1,34,20,14,20,0
ALLEGHENY,THORNBURG,THORNBURG 00 01,17,37,27,MONTOUR - REGION 1,404,210,135,59,168,187,49,53.9,1,33,39,33,6,32,11,22,11,0
ALLEGHENY,TRAFFORD,TRAFFORD 00 01,12,45,25,PENN-TRAFFORD,51,25,17,9,20,27,4,51.5,0,3,3,3,0,3,2,1,2,0
ALLEGHENY,TURTLE CREEK,TURTLE CREEK 01 01,,,,,1,1,0,0,0,0,1,73.0,0,1,1,1,0,1,0,1,0,1
ALLEGHENY,TURTLE CREEK,TURTLE CREEK 01 01,12,45,25,WOODLAND HILLS - REG. 1,807,440,240,127,294,411,102,53.0,2,89,95,89,6,88,50,39,50,0
ALLEGHENY,TURTLE CREEK,TURTLE CREEK 01 02,,,,,1,1,0,0,0,0,1,33.0,0,0,1,0,1,0,0,0,0,1
ALLEGHENY,TURTLE CREEK,TURTLE CREEK 01 02,12,45,25,WOODLAND HILLS - REG. 1,413,265,67,81,140,209,64,47.9,2,25,31,25,6,25,13,12,13,0
ALLEGHENY,TURTLE CREEK,TURTLE CREEK 02 01,12,45,25,WOODLAND HILLS - REG. 1,659,416,120,123,236,339,84,48.6,2,39,43,39,4,39,21,18,21,0
ALLEGHENY,TURTLE CREEK,TURTLE CREEK 02 02,12,45,25,WOODLAND HILLS - REG. 1,307,206,56,45,108,152,47,44.9,1,21,23,21,2,21,14,7,14,0
ALLEGHENY,TURTLE CREEK,TURTLE CREEK 03 01,12,45,25,WOODLAND HILLS - REG. 1,544,335,101,108,219,253,72,49.2,2,31,32,31,1,31,21,10,21,0
ALLEGHENY,TURTLE CREEK,TURTLE CREEK 03 02,12,45,25,WOODLAND HILLS - REG. 1,419,246,110,63,170,211,38,55.1,1,53,56,53,3,53,36,17,36,0
ALLEGHENY,UNASSIGNED / NEW CURRENT,UNASSIGNED / NEW CURRENT,,,,,3,3,0,0,0,0,3,46.0,0,0,3,0,3,0,0,0,0,3
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 01 01,12,37,42,UPPER ST CLAIR,489,201,206,82,205,203,81,46.8,2,43,47,43,4,43,22,21,22,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 01 02,12,37,42,UPPER ST CLAIR,813,345,311,157,339,368,106,51.7,1,93,101,93,8,92,44,49,44,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 01 03,,,,,2,1,0,1,0,0,2,43.0,0,1,2,1,1,1,0,1,0,2
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 01 03,12,37,42,UPPER ST CLAIR,1165,467,503,195,470,482,213,48.9,7,123,138,123,15,123,49,74,49,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 01 04,12,37,42,UPPER ST CLAIR,793,340,312,141,330,310,153,49.6,3,97,105,97,8,97,56,41,56,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 02 01,,,,,3,3,0,0,0,0,3,18.0,0,3,3,3,0,3,0,3,0,3
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 02 01,12,37,42,UPPER ST CLAIR,970,452,352,166,358,454,158,52.5,2,118,133,118,15,118,60,58,60,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 02 02,12,37,42,UPPER ST CLAIR,690,250,309,131,268,297,125,51.1,4,60,68,60,8,60,29,31,29,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 02 03,12,37,42,UPPER ST CLAIR,1039,482,385,172,428,463,148,51.2,5,120,129,120,9,119,75,45,75,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 02 04,12,37,42,UPPER ST CLAIR,537,227,219,91,220,204,113,51.1,4,66,69,66,3,66,29,37,29,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 03 01,,,,,1,1,0,0,0,0,1,18.0,0,1,1,1,0,1,1,0,1,1
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 03 01,12,37,40,UPPER ST CLAIR,962,418,389,155,376,427,159,53.0,2,96,110,96,14,96,50,46,50,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 03 02,,,,,3,1,1,1,0,0,3,38.0,0,2,3,2,1,2,1,1,1,3
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 03 02,12,37,40,UPPER ST CLAIR,834,343,360,131,338,375,121,51.6,2,78,91,78,13,78,39,39,39,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 03 03,,,,,3,2,1,0,0,0,3,31.0,0,3,3,3,0,3,1,2,1,3
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 03 03,12,37,42,UPPER ST CLAIR,1364,493,671,200,567,590,207,51.7,6,180,199,180,19,180,109,71,109,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 04 01,12,37,42,UPPER ST CLAIR,987,386,414,187,380,411,196,52.3,3,127,142,127,15,127,66,61,66,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 04 02,12,37,40,UPPER ST CLAIR,569,219,258,92,234,242,93,50.8,2,59,66,59,7,59,22,37,22,0
ALLEGHENY,UPPER ST CLAIR,UP ST CLAIR 04 03,12,37,40,UPPER ST CLAIR,628,244,267,117,259,264,105,52.0,1,67,78,67,11,67,34,33,34,0
